Pin Designator,Net Name
1,bank0_addr[5]
2,VSS
3,bank0_addr[4]
4,VSS
5,bank0_addr[3]
6,VSS
7,bank0_addr[2]
8,VSS
9,bank0_addr[1]
10,VSS
11,bank0_addr[0]
12,VSS
13,bank0_init_en
14,VSS
15,bank0_init_pad_in[3]
16,VSS
17,bank0_init_pad_in[2]
18,VSS
19,bank0_init_pad_in[1]
20,VSS
21,bank0_init_pad_in[0]
22,VSS
23,bank0_init_done
24,VSS
25,bank0_write_done_all
26,VSS
27,read_enable
28,VSS
29,write_enable
30,RESERVED
31,VSEL_SL_1
32,VSS
33,RESERVED
34,VSS
35,bank0_addr[6]
36,VSS
37,bank0_addr[7]
38,VSS
39,bank0_addr[8]
40,VSS
41,bank0_addr[9]
42,VSS
43,bank0_addr[10]
44,VSS
45,bank0_addr[11]
46,VSS
47,dp_tpp_model[0]
48,VSS
49,dp_tpp_model[1]
50,VSS
51,
52,VSS
53,V5V
54,VSS
55,VUNSEL_WL
56,VSS
57,VSEL_WL
58,VSS
59,VREAD
60,RESERVED
61,VSEL_BL_0
62,VSS
63,VSEL_BL_1
64,VSS
65,VSEL_SL_0
66,VSS
67,RESERVED
68,VSS
