Pin Designator,Net Name
1,output_data[8]
2,VDD
3,VSS
4,VSS
5,output_data[7]
6,output_data[6]
7,output_data[5]
8,output_data[4]
9,output_data[3]
10,output_data[2]
11,output_data[1]
12,output_data[0]
13,read_data_valid
14,bank1_init_en
15,bank1_init_pad_in[3]
16,bank1_init_pad_in[2]
17,bank1_init_pad_in[1]
18,bank1_init_done
19,bank1_init_pad_in[0]
20,bank1_write_done_all
21,VDD
22,VSS
23,V5V
24,VUNSEL_WL
25,VSEL_WL
26,VREAD
27,VSEL_BL_0
28,VSEL_BL_1
29,VSS
30,VSS
31,VSEL_SL_0
32,VSEL_SL_1
