Pin Designator,Net Name
1,NC
2,NC
3,NC
4,NC
5,VSS
6,NC
7,VSS
8,VDD
9,dp_tpp_model[1]
10,bank0_addr[9]
11,bank0_addr[11]
12,dp_tpp_model[0]
13,bank0_addr[8]
14,bank0_addr[10]
15,VSS
16,bank0_addr[7]
17,bank0_addr[5]
18,bank0_addr[6]
19,bank0_addr[3]
20,bank0_addr[4]
21,VSS
22,VDD
23,bank0_addr[1]
24,bank0_addr[2]
25,bank0_init_en
26,bank0_addr[0]
27,bank0_init_pad_in[2]
28,bank0_init_pad_in[3]
29,bank0_init_pad_in[0]
30,bank0_init_pad_in[1]
31,bank0_write_done_all
32,bank0_init_done
