,,,,,,,
,All Input Sources,,,,,,
,Source,DIO,VHDCI,DIO Input Net (VHDCI Nets),To,,Notes
,,,PIN,,Component,Pin,
,VHDCI 1 PXIe 6571 D0,0,65,ap_done15,Socket,,
,,1,31,o_start_w0,Socket,,
,,2,63,ap_done14,Socket,,
,,3,29,o_start_w1,Socket,,
,,4,61,ap_done13,Socket,,
,,5,27,o_start_w2,Socket,,
,,6,59,ap_done12,Socket,,
,,7,25,o_start_w3,Socket,,
,,8,57,ap_done11,Socket,,
,,9,23,o_start_w4,Socket,,
,,10,55,ap_done10,Socket,,
,,11,21,o_start_w5,Socket,,
,,12,53,ap_done9,Socket,,
,,13,19,o_start_w6,Socket,,
,,14,51,ap_done8,Socket,,
,,15,17,o_start_w7,Socket,,
,,16,49,ap_done7,Socket,,
,,17,15,o_start_w8,Socket,,
,,18,47,ap_done6,Socket,,
,,19,13,o_start_w9,Socket,,
,,20,45,ap_done5,Socket,,
,,21,11,REP_SEL0,Socket,,
,,22,43,ap_done4,Socket,,
,,23,9,REP_SEL1,Socket,,
,,24,41,ap_done3,Socket,,
,,25,7,REP_SEL2,Socket,,
,,26,39,ap_done2,Socket,,
,,27,5,REP_SEL3,Socket,,
,,28,37,ap_done1,Socket,,
,,29,3,REP_SEL4,Socket,,
,,30,35,ap_done0,Socket,,
,,31,1,REP_SEL5,Socket,,
,,VSS,,VSS,Socket,,
,,,,,,,
,VHDCI 2 PXIe 6571 D1,0,65,dp_tpp_model1,Socket,,
,,1,31,VSEL_BL_0,Socket,,
,,2,63,dp_tpp_model0,Socket,,
,,3,29,VSEL_BL_1,Socket,,
,,4,61,bank0_addr11,Socket,,
,,5,27,bank1_addr0,Socket,,
,,6,59,bank0_addr10,Socket,,
,,7,25,bank1_addr1,Socket,,
,,8,57,bank0_addr9,Socket,,
,,9,23,bank1_addr2,Socket,,
,,10,55,bank0_addr8,Socket,,
,,11,21,bank1_addr3,Socket,,
,,12,53,bank0_addr7,Socket,,
,,13,19,bank1_addr4,Socket,,
,,14,51,bank0_addr6,Socket,,
,,15,17,bank1_addr5,Socket,,
,,16,49,bank0_addr5,Socket,,
,,17,15,bank1_addr6,Socket,,
,,18,47,bank0_addr4,Socket,,
,,19,13,bank1_addr7,Socket,,
,,20,45,bank0_addr3,Socket,,
,,21,11,bank1_addr8,Socket,,
,,22,43,bank0_addr2,Socket,,
,,23,9,bank1_addr9,Socket,,
,,24,41,bank0_addr1,Socket,,
,,25,7,bank1_addr10,Socket,,
,,26,39,bank0_addr0,Socket,,
,,27,5,bank1_addr11,Socket,,
,,28,37,bank0_init_pad_in3,Socket,,
,,29,3,bank0_init_pad_in0,Socket,,
,,30,35,bank0_init_pad_in2,Socket,,
,,31,1,bank0_init_pad_in1,Socket,,
,,VSS,,VSS,Socket,,
,,,,,,,
,VHDCI 3 PXIe 6571 D2,0,65,input_data15,Socket,,
,,1,31,output_data0,Socket,,
,,2,63,input_data14,Socket,,
,,3,29,output_data1,Socket,,
,,4,61,input_data13,Socket,,
,,5,27,output_data2,Socket,,
,,6,59,input_data12,Socket,,
,,7,25,output_data3,Socket,,
,,8,57,input_data11,Socket,,
,,9,23,output_data4,Socket,,
,,10,55,input_data10,Socket,,
,,11,21,output_data5,Socket,,
,,12,53,input_data9,Socket,,
,,13,19,output_data6,Socket,,
,,14,51,input_data8,Socket,,
,,15,17,output_data7,Socket,,
,,16,49,input_data7,Socket,,
,,17,15,output_data8,Socket,,
,,18,47,input_data6,Socket,,
,,19,13,output_data9,Socket,,
,,20,45,input_data5,Socket,,
,,21,11,output_data10,Socket,,
,,22,43,input_data4,Socket,,
,,23,9,output_data11,Socket,,
,,24,41,input_data3,Socket,,
,,25,7,output_data12,Socket,,
,,26,39,input_data2,Socket,,
,,27,5,output_data13,Socket,,
,,28,37,input_data1,Socket,,
,,29,3,output_data14,Socket,,
,,30,35,input_data0,Socket,,
,,31,1,output_data15,Socket,,
,,VSS,,VSS,Socket,,
,,,,,,,
,VHDCI 4 PXIe 6571 D3,0,65,,NC,,
,,1,31,bank1_write_done_all,Socket,,
,,2,63,,NC,,
,,3,29,bank1_init_done,Socket,,
,,4,61,,NC,,
,,5,27,bank1_init_pad_in0,Socket,,
,,6,59,ap_ready,Socket,,
,,7,25,bank1_init_pad_in1,Socket,,
,,8,57,ap_idle,Socket,,
,,9,23,bank1_init_pad_in2,Socket,,
,,10,55,ap_start,Socket,,
,,11,21,bank1_init_pad_in3,Socket,,
,,12,53,mem_init_stage_done,Socket,,
