Pin Designator=1	Old Net Name=NetJ4_1	New Net Name=read_enable
Pin Designator=2	Old Net Name=NetJ4_2	New Net Name=VSS
Pin Designator=3	Old Net Name=NetJ4_3	New Net Name=write_enable
Pin Designator=4	Old Net Name=NetJ4_4	New Net Name=VSS
Pin Designator=5	Old Net Name=NetJ4_5	New Net Name=VSEL_SL_1
Pin Designator=6	Old Net Name=NetJ4_6	New Net Name=VSS
Pin Designator=7	Old Net Name=NetJ4_7	New Net Name=VSEL_SL_0
Pin Designator=8	Old Net Name=NetJ4_8	New Net Name=VSS
Pin Designator=9	Old Net Name=NetJ4_9	New Net Name=VREAD
Pin Designator=10	Old Net Name=NetJ4_10	New Net Name=VSS
Pin Designator=11	Old Net Name=NetJ4_11	New Net Name=VSEL_WL
Pin Designator=12	Old Net Name=NetJ4_12	New Net Name=VSS
Pin Designator=13	Old Net Name=NetJ4_13	New Net Name=VUNSEL_WL
Pin Designator=14	Old Net Name=NetJ4_14	New Net Name=VSS
Pin Designator=15	Old Net Name=NetJ4_15	New Net Name=V5V
Pin Designator=16	Old Net Name=NetJ4_16	New Net Name=VSS
Pin Designator=17	Old Net Name=NetJ4_17	New Net Name=read_data_valid
Pin Designator=18	Old Net Name=NetJ4_18	New Net Name=VSS
Pin Designator=19	Old Net Name=NetJ4_19	New Net Name=bank1_init_en
Pin Designator=20	Old Net Name=NetJ4_20	New Net Name=VSS
Pin Designator=21	Old Net Name=NetJ4_21	New Net Name=bank1_init_pad_in3
Pin Designator=22	Old Net Name=NetJ4_22	New Net Name=VSS
Pin Designator=23	Old Net Name=NetJ4_23	New Net Name=bank1_init_pad_in2
Pin Designator=24	Old Net Name=NetJ4_24	New Net Name=VSS
Pin Designator=25	Old Net Name=NetJ4_25	New Net Name=bank1_init_pad_in1
Pin Designator=26	Old Net Name=NetJ4_26	New Net Name=VSS
Pin Designator=27	Old Net Name=NetJ4_27	New Net Name=bank1_init_pad_in0
Pin Designator=28	Old Net Name=NetJ4_28	New Net Name=VSS
Pin Designator=29	Old Net Name=NetJ4_29	New Net Name=bank1_init_done
Pin Designator=30	Old Net Name=NetJ4_30	New Net Name=RESERVED
Pin Designator=31	Old Net Name=NetJ4_31	New Net Name=bank1_write_done_all
Pin Designator=32	Old Net Name=NetJ4_32	New Net Name=VSS
Pin Designator=33	Old Net Name=NetJ4_33	New Net Name=RESERVED
Pin Designator=34	Old Net Name=NetJ4_34	New Net Name=VSS
Pin Designator=36	Old Net Name=NetJ4_36	New Net Name=VSS
Pin Designator=38	Old Net Name=NetJ4_38	New Net Name=VSS
Pin Designator=40	Old Net Name=NetJ4_40	New Net Name=VSS
Pin Designator=42	Old Net Name=NetJ4_42	New Net Name=VSS
Pin Designator=44	Old Net Name=NetJ4_44	New Net Name=VSS
Pin Designator=46	Old Net Name=NetJ4_46	New Net Name=VSS
Pin Designator=48	Old Net Name=NetJ4_48	New Net Name=VSS
Pin Designator=49	Old Net Name=NetJ4_49	New Net Name=o_mvp_start_w
Pin Designator=50	Old Net Name=NetJ4_50	New Net Name=VSS
Pin Designator=51	Old Net Name=NetJ4_51	New Net Name=mem_init_all_done
Pin Designator=52	Old Net Name=NetJ4_52	New Net Name=VSS
Pin Designator=53	Old Net Name=NetJ4_53	New Net Name=mem_init_stage_done
Pin Designator=54	Old Net Name=NetJ4_54	New Net Name=VSS
Pin Designator=55	Old Net Name=NetJ4_55	New Net Name=ap_start
Pin Designator=56	Old Net Name=NetJ4_56	New Net Name=VSS
Pin Designator=57	Old Net Name=NetJ4_57	New Net Name=ap_idle
Pin Designator=58	Old Net Name=NetJ4_58	New Net Name=VSS
Pin Designator=59	Old Net Name=NetJ4_59	New Net Name=ap_ready
Pin Designator=60	Old Net Name=NetJ4_60	New Net Name=RESERVED
Pin Designator=62	Old Net Name=NetJ4_62	New Net Name=VSS
Pin Designator=64	Old Net Name=NetJ4_64	New Net Name=VSS
Pin Designator=66	Old Net Name=NetJ4_66	New Net Name=VSS
Pin Designator=67	Old Net Name=NetJ4_67	New Net Name=RESERVED
Pin Designator=68	Old Net Name=NetJ4_68	New Net Name=VSS
